season,match_no,date,team_1,team_1_score,team_1_wicket,team_2,team_2_score,team_2_wicket,player_of_match,toss_winner,toss_decision,winner,venue,city,win_by_wickets,win_by_runs,result,umpire_1,umpire_2
2022/23,1st,Jan 6 2023,Chattogram Challengers,89,9,Sylhet Strikers,90,2,Rejaur Rahman Raja,Sylhet Strikers,field first,Sylhet Strikers,SBNCS,Mirpur,8,0,8 wickets,Gazi Sohel,Mahfuzur Rahman
2022/23,2nd,Jan 6 2023,Rangpur Rangers,176,5,Comilla Victorians,142,10,Rony Talukdar,Comilla Victorians,field first,Rangpur Rangers,SBNCS,Mirpur,0,34,34 runs,Morshed Ali Khan,Tanvir Ahmed
2022/23,3rd,Jan 7 2023,Khulna Tigers,113,8,Dhaka Dominators,117,4,Nasir Hossain,Dhaka Dominators,field first,Dhaka Dominators,SBNCS,Mirpur,6,0,6 wickets,Gazi Sohel,Morshed Ali Khan
2022/23,4th,Jan 7 2023,Fortune Barishal,194,7,Sylhet Strikers,196,4,Towhid Hridoy,Fortune Barishal, bat first,Sylhet Strikers,SBNCS,Mirpur,6,0,6 wickets,Mahfuzur Rahman,Tanvir Ahmed
2022/23,5th,Jan 9 2023,Comilla Victorians,149,6,Sylhet Strikers,150,5,Towhid Hridoy,	Sylhet Strikers,field first,Sylhet Strikers,SBNCS,Mirpur,5,0,5 wickets,David Millns,Masudur Rahman
2022/23,6th,Jan 9 2023,Khulna Tigers,178,5,Chattogram Challengers,179,1,Usman Khan,Chattogram Challengers,field first,Chattogram Challengers,SBNCS,Mirpur,9,0,9 wickets,Raveendra Wimalasiri,Tanvir Ahmed
2022/23,7th,Jan 10 2023,Rangpur Rangers,158,7,Fortune Barishal,162,4,Mehidy Hasan Miraz,Fortune Barishal,field first,Fortune Barishal,SBNCS,Mirpur,6,0,6 wickets,Gazi Sohel,Raveendra Wimalasiri
2022/23,8th,Jan 10 2023,Sylhet Strikers,201,8,Dhaka Dominators,139,10,Towhid Hridoy,Dhaka Dominators,field first,Sylhet Strikers,SBNCS,Mirpur,0,62,62 runs,David Millns,Masudur Rahman
2022/23,9th,Jan 13 2023,Fortune Barishal,202,7,Chattogram Challengers,176,4,Iftikhar Ahmed,Chattogram Challengers,field first,Fortune Barishal,ZACS,Chattogram,0,26,26 runs,Ali Arman,Raveendra Wimalasiri
2022/23,10th,Jan 13 2023,Khulna Tigers,130,10,Rangpur Rangers,131,6,Robiul Haque,Rangpur Riders,field first,Rangpur Rangers,ZACS,Chattogram,4,0,4 wickets,Prageeth Rambukwella,Tanvir Ahmed
2022/23,11th,Jan 14 2023,Fortune Barishal,177,6,Comilla Victorians,165,7,Shakib Al Hasan,Comilla Victorians,field first,Fortune Barishal,ZACS,Chattogram,0,12,12 runs,David Millns,Morshed Ali Khan
2022/23,12th,Jan 14 2023,Dhaka Dominators,158,6,Chattogram Challengers,159,2,Afif Hossain,Dhaka Dominators,bat first,Chattogram Challengers,ZACS,Chattogram,8,0,8 wickets,Ali Arman,Prageeth Rambukwella
2022/23,13th,Jan 16 2023,Dhaka Dominators,128,7,Sylhet Strikers,134,5,Imad Wasim,Dhaka Dominators,bat first,Sylhet Strikers,ZACS,Chattogram,5,0,5 wickets,David Millns,Morshed Ali Khan
2022/23,14th,Jan 16 2023,Chattogram Challengers,135,8,Comilla Victorians,137,4,Litton Das,Chattogram Challengers,bat first,Comilla Victorians,ZACS,Chattogram,6,0,6 wickets,Ali Arman,Raveendra Wimalasiri
2022/23,15th,Jan 17 2023,Rangpur Rangers,129,10,Khulna Tigers,130,1,Wahab Riaz,Khulna Tigers,field first,Khulna Tigers,ZACS,Chattogram,9,0,9 wickets,Ali Arman,David Millns
2022/23,16th,Jan 17 2023,Sylhet Strikers,133,7,Comilla Victorians,134,5,Litton Das,Comilla Victorians,field first,Comilla Victorians,ZACS,Chattogram,5,0,5 wickets,Prageeth Rambukwella,Tanvir Ahmed
2022/23,17th,Jan 19 2023,Comilla Victorians,184,4,Dhaka Dominators,151,4,Khushdil Shah,Dhaka Dominators,field first,Comilla Victorians,ZACS,Chattogram,0,33,33 runs,Raveendra Wimalasiri,Mahfuzur Rahman
2022/23,18th,Jan 19 2023,Fortune Barishal,238,4,Rangpur Rangers,171,9,Iftikhar Ahmed,Rangpur Rangers,field first,Fortune Barishal,ZACS,Chattogram,0,67,67 runs,Masudur Rahman,Prageeth Rambukwella
